OrderID,MemberID,StoreID,CampaignID,OrderDate,SubTotal,Total
R00001,M00007,S00009,,08/10/2023,145,147.17
R00002,M00140,S00018,,05/08/2023,80,80.8
R00003,M00142,S00013,C00038,06/04/2023,35,35.52
R00004,M00032,S00013,,28/11/2023,90,91.8
R00005,M00158,S00014,C00006,12/05/2023,55,56.1
R00006,M00208,S00020,,05/09/2023,200,202
R00007,M00219,S00010,,03/04/2023,25,25.37
R00008,M00262,S00003,C00050,03/05/2023,115,116.15
R00009,M00247,S00011,C00015,05/05/2023,180,181.8
R00010,M00290,S00003,C00043,12/04/2023,135,136.35
R00011,M00010,S00014,C00006,20/06/2023,55,55.82
R00012,M00121,S00005,C00012,01/05/2023,135,137.02
R00013,M00084,S00017,C00016,06/04/2023,80,81.2
R00014,M00076,S00019,,25/11/2023,100,101
R00015,M00164,S00018,C00027,09/06/2023,155,158.1
R00016,M00256,S00015,,28/10/2023,125,126.25
R00017,M00038,S00014,C00004,07/03/2023,210,213.15
R00018,M00222,S00005,C00012,18/04/2023,110,112.2
R00019,M00108,S00005,C00012,29/03/2023,190,191.9
R00020,M00293,S00010,C00005,03/04/2023,60,61.2
R00021,M00248,S00004,,16/04/2023,110,111.65
R00022,M00225,S00012,C00021,16/06/2023,25,25.5
R00023,M00268,S00003,C00050,15/04/2023,85,86.7
R00024,M00160,S00018,,22/01/2023,25,25.37
R00025,M00127,S00011,C00030,28/04/2023,150,152.25
R00026,M00192,S00005,,01/05/2023,95,95.95
R00027,M00251,S00016,,12/08/2023,60,60.9
R00028,M00207,S00017,,27/05/2023,25,25.5
R00029,M00223,S00014,C00025,14/03/2023,55,55.55
R00030,M00221,S00018,C00001,24/02/2023,200,204
R00031,M00087,S00010,,02/06/2023,155,158.1
R00032,M00153,S00005,C00012,15/03/2023,90,91.35
R00033,M00172,S00018,,27/01/2023,25,25.37
R00034,M00241,S00014,C00004,19/03/2023,155,157.32
R00035,M00025,S00013,,30/05/2023,25,25.25
R00036,M00100,S00011,C00029,05/04/2023,100,101.5
R00037,M00227,S00005,C00012,11/04/2023,80,81.2
R00038,M00128,S00015,,30/05/2023,190,191.9
R00039,M00287,S00002,,31/03/2023,200,202
R00040,M00004,S00009,,16/09/2023,110,111.1
R00041,M00186,S00007,C00003,27/02/2023,110,111.65
R00042,M00138,S00011,C00023,07/05/2023,155,157.32
R00043,M00077,S00003,,14/08/2023,135,136.35
R00044,M00168,S00011,C00015,25/04/2023,155,156.55
R00045,M00071,S00009,,13/12/2023,60,61.2
R00046,M00184,S00011,,01/12/2023,60,61.2
R00047,M00066,S00020,,02/06/2023,25,25.25
R00048,M00003,S00016,,17/01/2023,25,25.25
R00049,M00048,S00003,,12/05/2023,105,106.05
R00050,M00194,S00004,C00031,14/04/2023,35,35.52
R00051,M00069,S00011,,19/04/2023,210,212.1
R00052,M00020,S00014,C00006,10/06/2023,70,71.05
R00053,M00168,S00011,,11/12/2023,55,55.82
R00054,M00258,S00020,,24/05/2023,90,90.9
R00055,M00267,S00016,C00036,27/04/2023,55,56.1
R00056,M00267,S00007,,18/05/2023,55,55.55
R00057,M00018,S00005,C00013,07/06/2023,100,102
R00058,M00183,S00011,,09/02/2023,55,56.1
R00059,M00241,S00008,C00009,21/06/2023,90,91.8
R00060,M00197,S00006,,06/09/2023,155,158.1
R00061,M00164,S00003,C00050,07/04/2023,115,116.15
R00062,M00199,S00004,C00031,07/04/2023,25,25.37
R00063,M00035,S00002,,17/11/2023,110,112.2
R00064,M00040,S00014,C00039,12/05/2023,55,55.82
R00065,M00034,S00005,,10/05/2023,60,60.6
R00066,M00135,S00010,,15/03/2023,160,162.4
R00067,M00300,S00014,,26/01/2023,35,35.7
R00068,M00242,S00017,C00020,18/04/2023,55,55.55
R00069,M00112,S00018,,06/12/2023,55,55.82
R00070,M00238,S00019,,15/02/2023,55,55.55
R00071,M00009,S00014,,03/10/2023,110,111.1
R00072,M00169,S00002,,14/03/2023,180,181.8
R00073,M00160,S00011,C00015,31/03/2023,180,183.6
R00074,M00063,S00008,,14/08/2023,210,214.2
R00075,M00084,S00007,C00049,21/05/2023,255,258.82
R00076,M00125,S00018,C00048,13/06/2023,125,126.25
R00077,M00119,S00016,,15/10/2023,55,55.82
R00078,M00144,S00005,,03/06/2023,115,116.72
R00079,M00016,S00016,C00036,07/05/2023,60,60.6
R00080,M00264,S00020,C00032,08/03/2023,35,35.52
R00081,M00145,S00010,,18/06/2023,180,183.6
R00082,M00159,S00005,,20/03/2023,100,102
R00083,M00268,S00011,C00023,20/04/2023,125,126.87
R00084,M00281,S00012,,03/07/2023,125,127.5
R00085,M00037,S00014,,17/04/2023,180,182.7
R00086,M00124,S00014,,05/09/2023,200,202
R00087,M00049,S00012,C00002,12/05/2023,115,116.15
R00088,M00264,S00003,,11/03/2023,80,81.6
R00089,M00155,S00008,,03/08/2023,135,137.02
R00090,M00033,S00003,C00043,30/03/2023,100,101
R00091,M00234,S00001,,01/08/2023,80,81.2
R00092,M00177,S00012,,06/07/2023,255,258.82
R00093,M00186,S00016,C00036,18/05/2023,225,228.37
R00094,M00006,S00009,C00052,02/05/2023,125,126.25
R00095,M00098,S00015,C00035,01/04/2023,165,166.65
